"year","countrycode","boys_reached","boys_targeted","girls_reached","girls_targeted","men_reached","men_targeted","women_reached","women_targeted","total_reached","total_targeted"
"2016","SDN","5291547","6101774","5270261","6005363","4960813","5533094","6113484","6104592","21636105","23744823"
"2016","SYR","1209613","940354","1305431","1046163","1275446","944165","1739748","1346815","5530238","4277497"
"2016","YEM","2515148","1961004","2426464","1958695","1815869","1658820","2677497","2305949","9434978","7884468"
"2015","AFG","646529","559177","616395","547949","839348","800144","861338","780060","2963610","2687330"
"2015","CAR","333401","280604","326149","290921","262219","264468","332060","354273","1253829","1190266"
"2015","COL","3571","1995","3622","2186","2542","2978","2475","2932","12210","10091"
"2015","DRC","1513425","1115569","1649991","1208221","447705","362300","517226","414072","4128347","3100162"
"2015","ETH","3241397","3101762","3151789","3000883","853619","646917","1081490","879397","8328295","7628959"
"2015","HTI","0","17047","0","17695","0","33663","0","36195","0","104600"
"2015","IRQ","2536098","3311616","2625089","3190486","601417","698285","654746","769539","6417350","7969926"
"2015","JOR","92770","104288","89705","101382","118773","78709","139775","105334","441023","389713"
"2015","LBN","34139","27090","50626","29950","46949","36632","56656","40164","188370","133836"
"2015","MMR","48511","46860","49976","50945","89208","82835","107697","104434","295392","285074"
"2015","PSE","52107","49110","53233","50788","39251","34914","55596","56682","200187","191494"
"2015","PAK","713031","790850","565731","821975","491515","1104623","605179","1261335","2375456","3978783"
"2015","SOM","884186","835034","882258","906898","4791203","5152823","4899796","5308143","11457443","12202898"
"2015","SSD","3065726","2609118","3101559","2752676","2408001","1957552","3914232","3170385","12489518","10489731"
"2015","SDN","8238950","9467890","8769943","10073620","4852689","5822601","5834231","7207605","27695813","32571716"
"2015","SYR","746292","570612","741920","567865","1001306","772207","1111804","871912","3601322","2782596"
"2015","YEM","974756","747516","969292","810610","720313","654692","1089579","863630","3753940","3076448"
"2014","AFG","466569","372853","473983","365117","512135","401216","938994","788059","2391681","1927245"
"2014","CAR","320706","380321","319118","387632","362522","455275","435364","595821","1437710","1819049"
"2014","COL","0","0","0","0","0","0","0","0","0","0"
"2014","DRC","127153","425777","152422","481103","81237","653746","100121","724465","460933","2285091"
"2014","ETH","0","0","0","0","0","0","0","0","0","0"
"2014","HTI","0","0","0","0","0","0","0","0","0","0"
"2014","MMR","0","0","0","0","0","0","0","0","0","0"
"2014","PSE","0","0","0","0","0","0","0","0","0","0"
"2014","PAK","0","0","0","0","0","0","0","0","0","0"
"2014","SDN","2682946","2664348","2838493","2772058","4786501","4666427","5943172","5521598","16251112","15624431"
"2014","YEM","0","0","0","0","0","0","0","0","0","0"
"2013","COL","0","0","0","0","0","0","0","0","0","0"
"2013","DRC","0","362453","0","466403","0","503164","0","617864","0","1949884"
"2013","ETH","0","0","0","0","0","0","0","0","0","0"
"2013","HTI","0","0","0","0","0","0","0","0","0","0"
"2013","MMR","0","0","0","0","0","0","0","0","0","0"
"2013","PSE","0","0","0","0","0","0","0","0","0","0"
"2013","PAK","0","0","0","0","0","0","0","0","0","0"
"2013","SDN","15040","4902","22923","4901","16963","4131","25848","6356","80774","20290"
"2013","YEM","0","0","0","0","0","0","0","0","0","0"
