"countrycode","year","cluster","requirements","funding","percentfunded"
"BDI","2022","Réponse aux Rapatriés","34513398","2728392","8"
"BDI","2022","Réponse aux Réfugiés","54342707","6688192","12"
"BDI","2022","Santé","5516668","8603180","156"
"BDI","2022","Sécurité alimentaire","18735570","16088815","86"
"BDI","2021","Abris / Articles Non-Alimentaires","16301000","5055520","31"
"BDI","2021","Coordination","1800000","1509523","84"
"BDI","2021","Eau, Hygiène et Assainissement","10813000","3977474","37"
"BDI","2021","Education","5100000","1693498","33"
"BDI","2021","Logistique","1300000","0","0"
"BDI","2021","Nutrition","14130000","7953710","56"
"BDI","2021","Protection","21452000","4074804","19"
"BDI","2021","Réponse aux Réfugiés","54228000","11172178","21"
"BDI","2021","Santé","7538000","4608662","61"
"BDI","2021","Sécurité alimentaire","25786000","28631739","111"
"BDI","2020","Abris, Articles non-alimentaires","33400000","9450792","28"
"BDI","2020","Coordination","1600000","1038659","65"
"BDI","2020","Eau, hygiène et assainissement","9200000","1408189","15"
"BDI","2020","Education","4200000","135122","3"
"BDI","2020","Nutrition","7350000","6332821","86"
"BDI","2020","Nutrition COVID-19","4700000","279218","6"
"BDI","2020","Protection","21198000","5938814","28"
"BDI","2020","Protection COVID-19","793000","192600","24"
"BDI","2020","Réponse multisectorielle aux rapatriés COVID-19","5852000","450000","8"
"BDI","2020","Réponse multisectorielle aux réfugiés","41300000","9386104","23"
"BDI","2020","Santé","7300000","2508670","34"
"BDI","2020","Sécurité alimentaire","24270000","20262725","83"
"BDI","2020","Sécurité alimentaire COVID-19","8100000","2297373","28"
"BDI","2019","ABRIS, ARTICLES NON ALIMENTAIRES","11675872","2572330","22"
"BDI","2019","COORDINATION","1550000","1233430","80"
"BDI","2019","EAU, HYGIÈNE ET ASSAINISSEMENT","1551925","0","0"
"BDI","2019","EDUCATION","1224500","4626163","378"
"BDI","2019","NUTRITION","5027442","4352133","87"
"BDI","2019","PROTECTION","8496301","8055841","95"
"BDI","2019","RÉPONSE MULTISECTORIELLE AUX RAPATRIÉS","31407856","816667","3"
"BDI","2019","RÉPONSE MULTISECTORIELLE AUX RÉFUGIÉS","22951326","7787832","34"
"BDI","2019","SANTÉ","4392031","1909499","43"
"BDI","2019","SÉCURITÉ ALIMENTAIRE","18009304","22599639","125"
"BDI","2018","Abris, Articles Non Alimentaires et CCCM","17527500","4778932","27"
"BDI","2018","Coordination","2700000","1433652","53"
"BDI","2018","Eau, Hygiène et Assainissement","9000000","1428215","16"
"BDI","2018","Education","4500000","1948252","43"
"BDI","2018","Nutrition","18000000","6423554","36"
"BDI","2018","Protection","15654000","7072930","45"
"BDI","2018","Réponse multisectorielle aux réfugiés","30924595","1641380","5"
"BDI","2018","Santé","15100000","200000","1"
"BDI","2018","Sécurité Alimentaire","23840000","27851095","117"
"BDI","2017","Abris et Articles Non Alimentaires","8000000","1221411","15"
"BDI","2017","Coordination","1800000","1307403","73"
"BDI","2017","Eau, Hygiène et Assainissement","8000000","300000","4"
"BDI","2017","Education","3500000","888626","25"
"BDI","2017","Nutrition","12000000","7007820","58"
"BDI","2017","Protection","12000000","4006242","33"
"BDI","2017","Sécurité Alimentaire","19000000","16636688","88"
"BDI","2016","ABRIS ET ARTICLES NON ALIMENTAIRES","5200000","1150000","22"
"BDI","2016","COORDINATION","1600000","905802","57"
"BDI","2016","EAU, HYGIENE ET ASSAINISSEMENT","6600000","1184306","18"
"BDI","2016","NUTRITION","10000000","3604803","36"
"BDI","2016","PROTECTION","11900000","5831558","49"
"BDI","2016","SANTE","10000000","1929996","19"
"BDI","2016","SECURITE ALIMENTAIRE","10000000","5417191","54"
"BEN","2020","Health COVID-19","10900000","2333919","21"
"BFA","2026","Abris/AME","37902376","2250500","6"
"BFA","2026","Coordination, soutien thématique et support au système","6419015","998935","16"
"BFA","2026","Eau, Hygiène et Assainissement","92601137","1229724","1"
"BFA","2026","Education","38646129","6945551","18"
"BFA","2026","Logistiques","23607081","875000","4"
"BFA","2026","Nutrition","40468759","5239525","13"
"BFA","2026","Protection","102951468","14686391","14"
"BFA","2026","Réponse aux réfugiés","47200199","1441945","3"
"BFA","2026","Santé","53970921","3282489","6"
"BFA","2026","Sécurité alimentaire","207208331","7933541","4"
"BFA","2025","Abris/AME","48221795","9131977","19"
"BFA","2025","Coordination","10713909","5489532","51"
"BFA","2025","Eau, Hygiène et Assainissement","95204176","7466558","8"
"BFA","2025","Education","43438810","11686875","27"
"BFA","2025","Gestion des Sites d’Accueil Temporaires","10665646","470179","4"
"BFA","2025","Logistique","39646249","13631321","34"
"BFA","2025","Nutrition","53270240","10888278","20"
"BFA","2025","Protection","115033646","29702437","26"
"BFA","2025","Réponse aux Réfugiés","49630108","13627323","27"
"BFA","2025","Santé","53657000","25472945","47"
"BFA","2025","Sécurité alimentaire","273083657","105668280","39"
"BFA","2024","Abris/AME","58271245","15965722","27"
"BFA","2024","Coordination","7580000","8803073","116"
"BFA","2024","Eau, Hygiène et Assainissement","98854983","21635781","22"
"BFA","2024","Education","61340420","10094845","16"
"BFA","2024","Gestion des Sites d’Accueil Temporaires","11188107","3538787","32"
"BFA","2024","Logistique","40014390","38005797","95"
"BFA","2024","Nutrition","55355855","21596149","39"
"BFA","2024","Protection","125107599","49098079","39"
"BFA","2024","Réponse aux Réfugiés","52320854","8209973","16"
"BFA","2024","Santé","55709591","25597023","46"
"BFA","2024","Sécurité alimentaire","368861341","177951048","48"
"BFA","2023","Abris/AME","69466170","16309256","23"
"BFA","2023","Coordination","6343166","8455141","133"
"BFA","2023","Eau, Hygiène et Assainissement","91001967","23247672","26"
"BFA","2023","Education","62399894","12237379","20"
"BFA","2023","Gestion des Sites d’Accueil Temporaires","11299376","3103554","27"
"BFA","2023","Logistique","30376008","20122409","66"
"BFA","2023","Nutrition","54325307","18741222","34"
"BFA","2023","Protection","134224836","38629203","29"
"BFA","2023","Réponse aux Réfugiés","45930908","24678925","54"
"BFA","2023","Santé","49159572","25294015","51"
